School,Conference,Attendance_Pct_FB,5_Year_Pct_Change,Majority_city,Instagram_Followers_FB (Thousands),Instagram_Followers_BB (Thousands),Donation_Revenue (Millions),Season_Ticket_Price,Win_Pct_Since_2003,Win_Val_AllTime_Fb,Win_Pct_AllTime_Fb,Graduate_Earnings(Thousands),Attendence_Pct_MBB,WBB_Capacity_Pct,Total_Revenue,Football_Revenue,MBB_Revenue,WBB_Revenue,Rights_Licensing,Football_Expense,MBB_Expense,WBB_Expense,Ticket_Sales_Pct,Football_Stadium_Capacity(22-25),Data_Complete,Alumni_amount,City 1,City 2,City 3,Occupation,Regional_occuptation,Regional_income,Regional _Populations,City 1_lat,City 1_lon,City 2_lat,City 2_lon,City 3_lat,City 3_lon
Kansas State,Big 12,103.55,3.61,"Kansas City, KS",113,69.1,29.27,,58.6,0.529,52.9,65,75.2,,,,,,,,,,,103.09,NO,"152,708","Kansas City, KS","Manhattan, KS",,Business Development,General and Operations Manager,"69,958","516,032",39.1134562,-94.626497,39.1836082,-96.5716694,,
Oklahoma State,Big 12,85.39,-16.88,"Tulsa, OK",176,57.0,43.05,,63.3,0.571,57.1,65,53.6,,,,,,,,,,,101.23,NO,"178,368","Tulsa, OK","Oklahoma City, OK",,Business Development,Fast food and Counter Workers,"70,459","1,059,803",36.1563122,-95.9927516,35.4729886,-97.5170536,,
Texas Tech,Big 12,99.86,9.03,"Dallas Fort-Worth, TX",258,134.0,39.27,,57.9,0.516,51.6,66,87.7,,,,,,,,,,,96.51,NO,"205,412","Dallas Fort-Worth, TX","Lubbock, TX",,Business Development,General and Operations Manager,"93,360","8,340,000",32.836883,-97.0329567,33.5855677,-101.8470215,,
UCF,Big 12,98.2,1.99,"Orlando, FL",206,67.2,14.8,,56.4,0.483,48.3,61,63.1,,,,,,,,,,,96.47,NO,"317,653","Orlando, FL","Miami, FL",,Operations ,Retail Salesperson,"74,568","2,940,000",28.5421218,-81.379045,25.7741566,-80.1935973,,
Utah,Big 12,100.5,16.32,"Salt Lake CIty, UT",216,42.2,31.16,,68.9,0.597,59.7,75,49.8,,,,,,,,,,,102.44,NO,"178,724","Salt Lake City, UT",,,Business Development,,,,40.7596198,-111.886797,,,,
West Virginia,Big 12,87.23,5.32,"Morgantown, WV",233,110.0,21.61,50.0,61.6,0.591,59.1,65,82.0,22.6,102.07,44.81,9.96,3.78,57.31,23.14,10.67,4.73,18.0,84.89,PARTIAL,"160,683","Morgan Town, WV",Washington DC,,Operations ,Registered Nurses,"44,727","30,236",39.2870566,-77.8690605,38.8950982,-77.0363849,,
Illinois,Big Ten,96.18,32.96,"Chicago, IL",172,178.0,44.72,,39.6,0.507,50.7,80,96.2,,,,,,,,,,,83.34,NO,"391,377","Chicago, IL","Urbana, IL","Champaign, IL",,Registered Nurses,,,41.8755616,-87.6244212,40.1117174,-88.207301,40.1164841,-88.2430932
Indiana,Big Ten,97.26,12.23,"Indianapolis, IN",297,194.0,35.3,,42.7,0.497,49.7,75,92.3,,,,,,,,,,,88.99,NO,283092,"Indianapolis, IN","Bloomington, IN","Chicago, IL",,Misc Assemblers ,,,39.7683331,-86.1583502,39.1670396,-86.5342881,41.8755616,-87.6244212
Iowa,Big Ten,100.0,1.81,"Cedar Rapids, IA",261,124.0,40.5,,65.2,0.547,54.7,70,72.3,,,,,,,,,,,100.0,NO,170721,"Cedar Rapids, IA","Iowa City, IA","Chicago, IL",,Registered Nurses,,,41.9758872,-91.6704053,41.6612561,-91.5299106,41.8755616,-87.6244212
Maryland,Big Ten,88.26,10.67,"Washington, DC",125,108.0,10.34,,46.0,0.516,51.6,84,75.1,,,,,,,,,,,69.65,NO,325688,"Washington, DC","Baltimore, MD",,,General  and Operations Managers,,,38.8950982,-77.0363849,39.2908816,-76.610759,,
Michigan,Big Ten,103.3,0.58,"Detroit, MI",861,318.0,44.11,82.0,68.0,0.732,73.2,96,93.7,31.7,212.84,141.09,21.0,0.83,91.65,64.13,12.83,5.46,24.0,102.53,PARTIAL,390211,"Detroit, MI","New York City, NY",,,"Teaching assistants, Postsecondary",,,42.3315509,-83.0466403,40.7127281,-74.0060152,,
Michigan State,Big Ten,94.02,2.75,"Detroit, MI",332,295.0,45.16,,58.2,0.588,58.8,74,100.0,,,,,,,,,,,89.99,NO,348892,"Detroit, MI","Lancing, MI",,,Fast food and Counter Workers,,,42.3315509,-83.0466403,43.1919328,-79.8407697,,
