School,Conference,Attendance_Pct_FB,5_Year_Pct_Change,Majority_city,Instagram_Followers_FB (Thousands),Instagram_Followers_BB (Thousands),Donation_Revenue (Millions),Season_Ticket_Price,Win_Pct_Since_2003,Win_Val_AllTime_Fb,Win_Pct_AllTime_Fb,Graduate_Earnings(Thousands),Attendence_Pct_MBB,WBB_Capacity_Pct,Total_Revenue,Football_Revenue,MBB_Revenue,WBB_Revenue,Rights_Licensing,Football_Expense,MBB_Expense,WBB_Expense,Ticket_Sales_Pct,Football_Stadium_Capacity(22-25),Data_Complete,Alumni_amount,City 1,City 2,City 3,Occupation,Regional_occuptation,Regional_income,Regional _Populations
California,ACC,56.01,-10.86,"San Francisco, CA",113,34,14.79,,50.9,0.546,54.6,96,30.3,,,,,,,,,,,65.25,NO,"503,599","San Fransisco, CA","Los Angeles, CA","Berkeley, CA",Business Development,,,
Clemson,ACC,97.11,-1.86,"Greenville, SC",797,102,71.81,,74.6,0.624,62.4,75,79.4,,,,,,,,,,,99.28,NO,"149,358","Greenville, SC","Clemson, SC",,Operations ,Retail Salesperson,"49,520","138,207"
Florida State,ACC,97.92,5.52,"Miami, FL",555,94.7,53.18,,64.8,0.623,62.3,67,56.6,,,,,,,,,,,103.92,NO,"277,107","Tallahassee, FL","Miami, FL","Fort Lauderdale, FL",Business Development,Fast food and Counter Workers,"56,511","196,169"
Georgia Tech,ACC,91.87,24.69,"Atlanta, GA",129,32.7,19.89,,53.8,0.581,58.1,119,53.7,,,,,,,,,,,66.87,NO,"250,843","Atlanta, GA",,,Engineering,Retail Salesperson,"88,165","498,715"
Louisville,ACC,82.72,5.8,"Louisville, KY",160,120,25.95,,62.9,0.644,64.4,68,61.3,,,,,,,,,,,97.82,NO,"121,380","Louisville, KY",,,Business Development,Laborers and Freight,"69,800","785,000"
Miami,ACC,98.56,22.22,"New York City, NY",363,124,,,62.1,0.635,63.5,85,64.5,,,,,,,,,,,83.48,,"131,745","Miami, FL","New York City, NY",,Business Development,,,
NC State,ACC,100,1.37,"Raleigh, NC",168,125,20.65,,54.7,0.516,51.6,76,65.8,,,,,,,,,,,98.71,NO,"236,116","Raleigh, NC","Charlotte, NC",,Engineering,Retail Salesperson,"85,060","467,665"
North Carolina,ACC,100,3.42,"Raleigh, NC",309,612,23.57,,49.8,0.556,55.6,81,90.3,,,,,,,,,,,95.74,NO,"219,152","Raleigh, NC","Chapel Hill, NC",,Business Development,,,
Pitt,ACC,75.8,5.96,"Pittsburg, PA",154,50.5,,,56.2,0.574,57.4,74,64.6,,,,,,,,,,,76.38,NO,"187,111","Pittsburg, PA",,,Business Development,Health care and Social Assistance,"66,954","302,971"
Stanford,ACC,55.87,-13.01,"San Francisco, CA",108,29,,,53,0.566,56.6,125,40.7,,,,,,,,,,,57.14,NO,"372,167","San Fransisco, CA",India,"New York City, NY",Business Development,,,
Syracuse,ACC,90.23,2.33,"New York City, NY",143,185,,,41.1,0.56,56,73,54.6,,,,,,,,,,,77.8,NO,"159,509","New York City, NY","Syracuse, NY",,Business Development,Retail Salesperson,"51,770","148,620"
Virginia,ACC,71.42,14.35,"Washington, DC",100,102,46.41,25,46.3,0.517,51.7,91,92.5,26.7,129.63,45.34,15.65,5.17,52.06,30.25,13.47,5.17,11,65.84,PARTIAL,"179,574","Washington, DC","Charlottesville, VA","New York City, NY",Business Development,,,
Virginia Tech,ACC,95.19,-3.85,"Washington, DC",191,54.6,28.42,57.5,61.5,0.596,59.6,86,76.5,49.2,126.13,67.51,11.95,1.8,44.78,38.43,9.91,4.84,14,98.49,PARTIAL,"226,871","Washington, DC","Blacksburg, VA",,Engineering,Misc Assemblers ,"50,182","98,998"
Arizona,Big 12,82.28,-1.79,"Tuscon, AZ",137,195,23.91,,45.7,0.557,55.7,67,94.4,,,,,,,,,,,84.73,NO,"253,316","Tuscon, AZ","Phoenix, AZ",,Education,General and Operations Manager,"87,310","933,263"
Arizona State,Big 12,101.58,14.97,"Phoenix, AZ",186,53.4,20.16,,54.8,0.597,59.7,67,58,,,,,,,,,,,85.24,NO,"669,386","Phoenix, AZ","Los Angeles, CA",,Operations ,,,
